source_query,id,title,abstract,url,tag_topic_relevance_confidence,tag_matched_keywords,tag_matched_concepts,tag_topic_relevance_score,include,exclusion_reason
garrafada,CAND-001,Garrafada Batatão Hipólito,"Garrafada composta por Baccharis crispa, Cenostigma pyramidale e outras plantas medicinais. Usada na medicina popular.",https://proceedings.science/garrafada-batatao,0.0616,[garrafada],[],0.2,true,
garrafada de,CAND-002,Garrafadas Especiais,"Preparações com eucalipto, malvarisco, agrião, hortelã para gripes e resfriados.",https://ac24horas.com/garrafadas-especiais,0.0144,[],[],0,false,Topic relevance score (0.00) below minimum threshold (0.10)
bebida de,CAND-003,Mocororó e Aluá,"Bebidas fermentadas de caju e abacaxi (aluá), tradicionais e artesanais.",https://elle.com.br/mocororo-alua,0.0156,[],[],0,false,Topic relevance score (0.00) below minimum threshold (0.10)
bebida feita de,CAND-004,Cauim e Pajuaru,Bebidas indígenas fermentadas à base de mandioca e outros ingredientes.,https://elle.com.br/cauim-pajuaru,0.0156,[],[],0,false,Topic relevance score (0.00) below minimum threshold (0.10)
licor da regiao,CAND-005,Licor de Licuri,"Licor produzido na região da Bacia do Jacuípe, Piemonte da Diamantina.",https://aregiao.com.br/licor-licuri,0.0568,[licor],[],0.2,true,
licor de ,CAND-006,Licor de Cajazeiras,Licor tradicional de São João produzido em Salvador (Boca da Mata).,https://cajaon.com.br/licor-cajazeiras,0.0568,[licor],[],0.2,true,
licor de regiao,CAND-007,Licor de Umbu e Inhame,Variações regionais de licores do Recôncavo e São Francisco.,https://aregiao.com.br/licor-umbu,0.0568,[licor],[],0.2,true,
bebida de,CAND-008,Tepache,Bebida de abacaxi fermentado com especiarias.,https://elle.com.br/tepache,0.08840000000000002,[bebida fermentado],[],0.4,true,
infusao fermentado,CAND-009,Infusão de Kefir,Bebida fermentada aromatizada com frutas.,https://gzrecipes.com/kefir,0.049600000000000005,[bebida],[],0.2,true,
licor de regiao,CAND-010,Aguardente de Medronho,Aguardente típica mencionada em contexto regional.,https://lojadovinho.com/aguardente-medronho,0.010799999999999999,[],[],0,false,Topic relevance score (0.00) below minimum threshold (0.10)
